airport_name,iata_code,latitude,longitude,airport_code,airport_type
Chesterfield Inlet Airport,YCS,63.346901,-90.731102,CYCS,small_airport
Chisasibi Airport,YKU,53.80559921264648,-78.91690063476562,CSU2,small_airport
Cross Lake (Charlie Sinclair Memorial) Airport,YCR,54.609758,-97.762442,CYCR,small_airport
Gillam Airport,YGX,56.35712,-94.711504,CYGX,small_airport
Igloolik Airport,YGT,69.3647,-81.816101,CYGT,small_airport
Lac Brochet Airport,XLB,58.614279,-101.468954,CZWH,small_airport
Little Grand Rapids Airport,ZGR,52.045417,-95.46617,CZGR,small_airport
Lutselk'e Airport,YSG,62.417823,-110.682793,CYLK,small_airport
Nain Airport,YDP,56.550778,-61.682224,CYDP,small_airport
Oxford House Airport,YOH,54.9333,-95.2789,CYOH,small_airport
Paulatuk (Nora Aliqatchialuk Ruben) Airport,YPC,69.360838,-124.07547,CYPC,small_airport
Pond Inlet Airport,YIO,72.689494,-77.968941,CYIO,small_airport
Poplar Hill Airport,YHP,52.1133,-94.2556,CYHP,small_airport
Poplar River Airport,XPP,52.996526,-97.274194,CZNG,small_airport
Salluit Airport,YZG,62.179401,-75.667198,CYZG,small_airport
South Indian Lake Airport,XSI,56.792801,-98.907204,CZSN,small_airport
St. Theresa Point Airport,YST,53.845261,-94.851966,CYST,small_airport
Webequie Airport,YWP,52.959393,-87.374868,CYWP,small_airport
Wunnumin Lake Airport,WNN,52.893902,-89.2892,CKL3,small_airport
Donnelly Airport,YOE,55.7094,-117.094002,CFM4,small_airport
Drayton Valley Industrial Airport,YDC,53.265800476074,-114.95999908447,CER3,small_airport
Fairview Airport,ZFW,56.081401825,-118.434997559,CEB5,small_airport
Tumbler Ridge Airport,TUX,55.025001525879,-120.93499755859,CBX7,small_airport
Armstrong Airport,YYW,50.29029846191406,-88.90969848632812,CYYW,medium_airport
Beaver Creek Airport,YXQ,62.410301208496094,-140.86700439453125,CYXQ,medium_airport
Faro Airport,ZFA,62.20750045776367,-133.37600708007812,CZFA,medium_airport
Forestville Airport,YFE,48.74610137939453,-69.09719848632812,CYFE,medium_airport
Fort Liard Airport,YJF,60.2358016968,-123.46900177,CYJF,medium_airport
Hornepayne Municipal Airport,YHN,49.19309997558594,-84.75890350341797,CYHN,medium_airport
Matagami Airport,YNM,49.76169967651367,-77.80280303955078,CYNM,medium_airport
Matane Airport,YME,48.85689926147461,-67.45330047607422,CYME,medium_airport
Pikwitonei Airport,PIW,55.58890151977539,-97.16419982910156,CZMN,medium_airport
Teslin Airport,YZW,60.17279815673828,-132.7429962158203,CYZW,medium_airport
Aklavik/Freddie Carmichael Airport,LAK,68.223297,-135.00599,CYKD,small_airport
Brochet Airport,YBT,57.8894,-101.679001,CYBT,small_airport
Eastmain River Airport,ZEM,52.226398,-78.522499,CZEM,small_airport
Ilford Airport,ILF,56.051622,-95.61882,CZBD,small_airport
Kangiqsualujjuaq (Georges River) Airport,XGR,58.711399,-65.992798,CYLU,small_airport
La Tabatière Airport,ZLT,50.8307991027832,-58.97560119628906,CTU5,small_airport
Muskrat Dam Airport,MSA,53.441399,-91.762802,CZMD,small_airport
Red Sucker Lake Airport,YRS,54.167198,-93.557198,CYRS,small_airport
Naujaat Airport,YUT,66.521024,-86.225166,CYUT,small_airport
Round Lake (Weagamow Lake) Airport,ZRJ,52.9436,-91.312798,CZRJ,small_airport
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.993896,-125.242996,CYSY,small_airport
Sanikiluaq Airport,YSK,56.536891,-79.250221,CYSK,small_airport
Tadoule Lake Airport,XTL,58.706308,-98.511057,CYBQ,small_airport
Taloyoak Airport,YYH,69.5467,-93.576698,CYYH,small_airport
Ulukhaktok Holman Airport,YHI,70.762802,-117.806,CYHI,small_airport
Arctic Bay Airport,YAB,73.006101,-85.04616,CYAB,small_airport
Black Tickle Airport,YBI,53.469836,-55.787501,CCE4,small_airport
Bloodvein River Airport,YDV,51.784568,-96.692305,CZTA,small_airport
Keewaywin Airport,KEW,52.9911,-92.836403,CPV8,small_airport
Chilko Lake (Tsylos Park Lodge) Airport,CJH,51.625797,-124.144478,CAG3,small_airport
Cluff Lake Airport,XCL,58.3911018372,-109.51599884,CJS3,small_airport
Coronation Airport,YCT,52.0750007629,-111.444999695,CYCT,small_airport
Douglas Lake Airport,DGF,50.1654600485,-120.171273351,CAL3,small_airport
Prince Rupert/Seal Cove Seaplane Base,ZSW,54.333302,-130.283005,CZSW,seaplane_base
Tofino Harbour Seaplane Base,YTP,49.155,-125.91,CAB4,seaplane_base
Amos/Magny Airport,YEY,48.563903,-78.249702,CYEY,medium_airport
Burwash Airport,YDB,61.371101,-139.041,CYDB,medium_airport
Ekati Airport,YOA,64.6988983154,-110.614997864,CYOA,medium_airport
Haines Junction Airport,YHT,60.7892,-137.546005,CYHT,medium_airport
Ignace Municipal Airport,ZUC,49.428204,-91.720418,CZUC,medium_airport
La Grande-4 Airport,YAH,53.754699707,-73.6753005981,CYAH,medium_airport
Manitouwadge Airport,YMG,49.08390045166016,-85.86060333251953,CYMG,medium_airport
Mayo Airport,YMA,63.61640167236328,-135.8679962158203,CYMA,medium_airport
Thicket Portage Airport,YTD,55.31890106201172,-97.70780181884766,CZLQ,medium_airport
Wrigley Airport,YWY,63.20940017700195,-123.43699645996094,CYWY,medium_airport
Akulivik Airport,AKV,60.8186,-78.148598,CYKO,small_airport
Wapekeka Airport,YAX,53.84920120239258,-89.57939910888672,CKB6,small_airport
Clyde River Airport,YCY,70.486099,-68.516701,CYCY,small_airport
Rae Lakes Airport,YRA,64.116096,-117.309998,CYRA,small_airport
Hopedale Airport,YHO,55.448757,-60.228124,CYHO,small_airport
Ivujivik Airport,YIK,62.417301,-77.925301,CYIK,small_airport
Kangiqsujuaq (Wakeham Bay) Airport,YWB,61.5886,-71.929398,CYKG,small_airport
Kangirsuk Airport,YKG,60.027199,-69.999199,CYAS,small_airport
Kingfisher Lake Airport,KIF,53.01250076293945,-89.85530090332031,CNM5,small_airport
Kugaaruk Airport,YBB,68.535711,-89.805508,CYBB,small_airport
Lansdowne House Airport,YLH,52.195599,-87.934196,CYLH,small_airport
Makkovik Airport,YMN,55.077335,-59.187942,CYFT,small_airport
North Spirit Lake Airport,YNO,52.4900016784668,-92.97109985351562,CKQ3,small_airport
Ogoki Post Airport,YOG,51.6585998535,-85.9017028809,CYKP,small_airport
Pukatawagan Airport,XPK,55.749199,-101.265999,CZFG,small_airport
St. Lewis (Fox Harbour) Airport,YFX,52.372799,-55.673901,CCK4,small_airport
